regionID,zipCode,city,lat,lon
246,37900,SANTA MARTA DE TORMES,40.9507,-5.6272
247,19462,ILLANA,40.6656,-2.07
248,34800,AGUILAR DE CAMPOO,42.7945,-4.2589
249,10650,AHIGAL,40.1895,-6.1882
250,27611,PARADELA,42.7468,-7.581094444444448
251,24007,LEON,42.6,-5.5703
252,6005,BADAJOZ,38.8779,-6.9706
253,33468,TRASONA,43.5459,-5.869427272727273
254,47511,SIETEIGLESIAS DE TRABANCOS,41.3522,-5.1849
255,6130,VALVERDE DE LEGANES,38.6706,-6.9804
256,6140,TALAVERA LA REAL,38.8779,-6.7686
257,45700,CONSUEGRA,39.4625,-3.608
258,22880,CANFRANC,42.6513,-0.4517
259,6200,ALMENDRALEJO,38.6832,-6.4075
260,41740,LEBRIJA,36.9208,-6.0753
261,33879,TINEO,43.3244,-6.4076818181818185
262,50240,MORES,41.4733,-1.5649
263,26526,CORNAGO,42.0644,-2.0949
264,6260,MONESTERIO,38.0833,-6.2667
265,6300,ZAFRA,38.4167,-6.4167
266,48270,MARKINA-XEMEIN,43.2667,-2.5
267,49800,TORO,41.5242,-5.3953
268,6400,DON BENITO,38.9563,-5.8616
269,39577,VEGA DE LIEBANA,43.0946,-4.6827
270,24237,TORAL DE LOS GUZMANES,42.2427,-5.5656333333333325
271,33210,GIJON,43.5357,-5.6615
272,17773,PONTOS,42.177,2.9198
273,50830,VILLANUEVA DE GALLEGO,41.7692,-0.8235
274,23500,JODAR,37.8406,-3.3526
275,32111,PADERNE DE ALLARIZ,42.4756,-7.9174
276,46182,"CAÑADA, LA",39.5333,-0.4833
277,49690,SAN CRISTOBAL DE ENTREVIÑAS,42.0458,-5.6347
278,6614,ALMORCHON,38.7,-5.2833
279,6770,CASAS DE DON PEDRO,39.1082,-5.3308
280,28214,FRESNEDILLAS,40.1642,-3.7327
281,6700,VILLANUEVA DE LA SERENA,38.9766,-5.7974
282,34886,VELILLA DEL RIO CARRION,42.8261,-4.8463
283,24393,SANTA MARINA DEL REY,42.4674,-5.836785714285715
284,15689,ORDENES,43.0333,-8.42449523809524
285,15810,ARZUA,42.9281,-8.1641
286,22423,ESTADILLA,42.0566,0.2434
287,6870,"GARROVILLA, LA",38.9196,-6.4775
288,46295,SUMACARCEL,39.0322,-0.6105499999999999
289,6930,BERLANGA,38.2833,-5.8167
290,33459,CASTRILLON,43.55,-6.030788888888887
291,10380,CIUDAD REAL,39.6662,-5.8131
292,39860,RASINES,43.3176,-3.5289928571428564
293,24010,LEON,42.6,-5.5703
294,14549,"MONTIELA, LA",37.5714,-4.7965
295,46837,QUATRETONDA,38.95,-0.4
296,10520,CASATEJADA,39.8864,-5.6819
297,43422,BARBERA DE LA CONCA,41.4,1.2333
298,27720,PUENTE NUEVO,43.3262,-7.1462
299,21660,MINAS DE RIOTINTO,37.6969,-6.5943
300,34410,MONZÓN DE CAMPOS,42.11600000000001,-4.4928
301,32540,"GUDIÑA, LA",42.011,-7.0647
302,13003,CIUDAD REAL,38.9863,-3.9291
303,37310,MACOTERA,40.830999999999996,-5.2853
304,32800,CELANOVA,42.153,-7.9551
305,48006,BILBAO,43.2627,-2.9253
306,14206,VALSEQUILLO,38.4,-5.35
307,10616,CASAS DEL CASTAÑAR,40.1132,-5.899
308,39696,SELAYA,43.206,-3.7746
309,45640,REAL DE SAN VICENTE (EL),40.0918,-4.6769
310,27865,OUROL,43.55,-7.6
311,49200,BERMILLO DE SAYAGO,41.3665,-6.1122
312,45790,QUERO,39.5111,-3.2474
313,15337,BARQUERO (MAÑON),43.7716,-7.805716666666666
314,12400,SEGORBE,39.85,-0.4833
315,36860,PONTEAREAS,42.1778,-8.5
316,14260,FUENTE LA LANCHA,38.4167,-5.0333
317,10630,PINOFRANQUEADO,40.2907,-6.3328000000000015
318,10440,ALDEANUEVA DE LA VERA,40.1271,-5.7015
319,8120,HOSPITALET DE LLOBREGAT,41.5143,2.193
320,13500,PUERTOLLANO,38.6871,-4.1073
321,28411,MORALZARZAL,40.6782,-3.9707
322,28903,GETAFE,40.3057,-3.7329
323,10800,CORIA,39.9879,-6.5377
324,23009,JAEN,37.7692,-3.7903
325,17174,SAN FELIU DE PALLAROL,42.1167,2.5213
326,18151,"OGIJARES, LOS",37.1191,-3.6077
327,13100,PIEDRABUENA,39.0354,-4.1751
328,25125,ALGUAIRE,41.736999999999995,0.5845
329,21449,LEPE,37.2071,-7.22325
330,45002,TOLEDO,39.8581,-4.0226
331,15080,CORUÑA A,42.3749,-7.8049
332,12185,CUEVAS DE VINROMA,40.3098,0.1354
333,40593,SEGOVIA,41.28100000000001,-3.6014
334,19133,BUDIA,40.6273,-2.7545142857142855
335,43878,MASDENVERGE,40.716,0.5301
336,8211,CASTELLAR DEL VALLES,41.6167,2.075
337,13412,CHILLON,38.796,-4.8663
338,45800,QUINTANAR DE LA ORDEN,39.5937,-3.0417
339,15863,"BAÑA, LA",42.9054,-8.691599999999998
340,45170,SAN MARTIN DE PUSA,39.784,-4.6325
341,27620,SAMOS,42.7329,-7.32
342,13670,VILLARRUBIA DE LOS OJOS,39.2208,-3.608
343,49190,MORALES DEL VINO,41.4474,-5.7307
344,15320,PUENTES DE GARCIA RODRIGUEZ,43.4262,-7.9567
345,39530,PUENTE SAN MIGUEL,43.3615,-4.0862
346,8240,MANRESA,41.725,1.8448
347,49610,SANTIBAÑEZ DE VIDRIALES,42.0736,-6.0155
348,22660,ESCARRILLA,42.7354,-0.3132
349,14730,POSADAS,37.8021,-5.1073
350,17452,MASSANET DE LA SELVA,41.7654,2.6532
351,33640,UJO,43.2055,-5.7921000000000005
352,27163,CORGO,42.8784,-7.384918181818179
353,16250,CASTILLEJO DE INIESTA,39.5333,-1.7667
354,15704,SANTIAGO DE COMPOSTELA,42.8805,-8.5457
355,25750,TORA,41.8167,1.4
356,25793,COLL DE NARGO,42.1747,1.2571
357,17142,VERGES,42.0628,3.0458
358,28649,ROZAS DE PUERTO REAL,40.3167,-4.4833
359,31360,FUNES,42.3156,-1.8002
360,24410,CAMPONARAYA,42.6167,-6.671883333333334
361,31150,MENDIGORRIA,42.6038,-1.8448666666666669
362,14914,PALENCIANA,37.2485,-4.5826
363,12540,VILA-REAL,39.9333,-0.1
364,22533,BELVER DE CINCA,41.7212,0.2527
365,16320,TALAYUELAS,39.85,-1.2833
366,40003,SEGOVIA,40.9481,-4.1184
367,24800,CISTIERNA,42.8034,-5.1266
368,19005,GUADALAJARA,40.6286,-3.1618
369,14350,CERRO MURIANO,37.8916,-4.7727
370,33584,SEVARES,43.3687,-5.26221875
371,10864,TORRE DE DON MIGUEL,40.2233,-6.5769
372,8394,SANT VICENC DE MONTALT,41.5785,2.5088
373,50344,MORATA DE JILOCA,41.24800000000001,-1.5867
374,44001,TERUEL,40.3456,-1.1065
375,25599,ARTIES,42.7006,0.8709
376,14460,DOS TORRES,38.45,-4.9
377,16640,BELMONTE,39.5575,-2.7046
378,27260,CASTRO RIBERAS DE LEA,43.1558,-7.5043
379,46418,RIOLA,39.1833,-0.3
380,25560,SORT,42.4132,1.1305
381,47310,CAMPASPERO,41.4921,-4.1961
382,47230,MATAPOZUELOS,41.4142,-4.7912
383,36400,"PORRIÑO, O",42.2603,-8.4818
384,16100,VALVERDE DE JUCAR,39.7187,-2.2214
385,17474,TORROELLA DE FLUVIA,42.1752,3.0359
386,18680,SALOBREÑA,36.7468,-3.59425
387,8518,GURB,41.9333,2.0667
388,28720,BUSTARVIEJO,40.8572,-3.7077
389,23004,JAEN,37.7692,-3.7903
390,41660,VILLANUEVA DE SAN JUAN,37.0495,-5.1754
391,50290,EPILA,41.6005,-1.2801
392,13740,TORRENUEVA,38.6396,-3.3626
393,28690,BRUNETE,40.4053,-3.9985
394,8552,TARADELL,41.8749,2.2866
395,49021,ZAMORA,41.5063,-5.7446
396,23180,FUERTE DEL REY,37.8749,-3.8839
397,8573,ORIS,42.0597,2.2207
398,42100,AGREDA,41.8559,-1.9224
399,8610,AVIA,42.0667,1.85
400,44570,CALANDA,40.9415,-0.2324
401,8612,MONTMAJOR,42.0175,1.735
402,36691,SOTOMAYOR,42.3358,-8.596199999999998
403,16003,CUENCA,40.0667,-2.1333
404,44460,SARRION,40.1333,-0.8167
405,14200,PEÑARROYA-PUEBLONUEVO,38.3,-5.2667
406,41760,"CORONIL, EL",37.0795,-5.6341
407,39593,ROIZ (VALDALIGA),43.3366,-4.3043107142857115
408,44540,ALBALATE DEL ARZOBISPO,41.1217,-0.5114
409,21360,"REPILADO, EL",37.9277,-6.7694
410,50006,ZARAGOZA,41.6561,-0.8773
411,28630,VILLA DEL PRADO,40.2785,-4.3053
412,27297,LUGO,43.0099,-7.556
413,37250,ALDEADAVILA DE LA RIBERA,41.0354,-6.52035
414,8696,"POBLA DE LILLET, LA",42.2449,1.9954
415,33790,PUERTO DE VEGA,43.5648,-6.645219999999999
416,8710,SANTA MARGARITA DE MONTBUY,41.55,1.6167
417,14830,ESPEJO,37.6798,-4.5535
418,15882,PUENTE LEDESMA (BOQUEIJON),42.8,-8.3333
419,14003,CORDOBA,37.8916,-4.7727
420,32644,CALVOS DE RANDIN,41.9479,-7.896
421,40446,MARTIN MUÑOZ DE LAS POSADAS,40.9955,-4.5967
422,32200,CORTEGADA,42.2526,-8.1466
423,27324,SEOANE (FOLGOSO DE CAUREL),42.6534,-7.1559
424,45519,NOVES,40.0138,-4.294
425,49140,TABARA,41.8246,-5.9642
426,14440,VILLANUEVA DE CORDOBA,38.3228,-4.6287
427,13200,MANZANARES,38.9991,-3.3699
428,21510,SAN BARTOLOME DE LA TORRE,37.4452,-7.106
429,8783,MASQUEFA,41.5035,1.8114
430,36960,SANXENXO,42.4098,-8.7759
431,37797,CALZADA DE VALDUNCIEL,41.0866,-5.7022
432,28190,Montejo de la Sierra,41.1433,-3.4174250000000006
433,10891,ELJAS,40.2165,-6.8462
434,28890,LOECHES,40.3833,-3.4
435,8798,SANT CUGAT SESGARRIGUES,41.3667,1.75
436,13330,VILLANUEVA DE LA FUENTE,38.6946,-2.6964
437,28742,LOZOYA,40.9202,-3.7886
438,8028,BARCELONA,41.3888,2.1590000000000003
439,13170,MIGUELTURRA,38.9644,-3.8905
440,36600,VILLAGARCIA DE AROSA,42.5963,-8.7643
441,31798,PAMPLONA,43.0,-1.6050000000000002
442,36005,PONTEVEDRA,42.431000000000004,-8.6444
443,28730,BUITRAGO DEL LOZOYA,40.9909,-3.6337
444,43700,"VENDRELL, EL",41.2167,1.5333
445,46171,CASINOS,39.7,-0.7
446,10850,HOYOS,40.1715,-6.7209
447,46450,BENIFAYO,39.2844,-0.426
448,10370,DELEITOSA,39.6436,-5.6458
449,28722,VELLON (EL),40.7666,-3.5329
450,37720,PUERTO DE BÉJAR,40.3167,-5.87715
451,14650,BUJALANCE,37.8956,-4.3807
452,21639,CANDON,37.3906,-6.7389
453,14800,PRIEGO DE CORDOBA,37.4381,-4.1952
454,12192,VILAFAMES,40.1167,-0.05
455,33592,NUEVA LLANES,43.4167,-4.921383333333334
456,50637,REMOLINOS,41.8395,-1.1777
457,16444,CERVERA DEL LLANO,39.7831,-2.4202
458,40320,CANTALEJO,41.2576,-3.9279
459,23460,PEAL DE BECERRO,37.9134,-3.1215
460,33520,NAVA,43.3581,-5.5106
461,27500,CHANTADA,42.6811,-7.7835
462,16230,VILLANUEVA DE LA JARA,39.4333,-1.9333
463,26144,GALILEA,42.3121,-2.2396666666666665
464,25003,LLEIDA,41.6167,0.6222
465,17532,PUIGCERDA,42.3505,1.9718
466,45578,CAMPILLO DE LA JARA (EL),39.5892,-5.0553
467,43596,HORTA DE SAN JUAN,40.95,0.3167
468,39697,SOTO IRUZ,43.2457,-3.9474
469,9100,MELGAR DE FERNAMENTAL,42.4044,-4.2448
470,27380,PARGA (SAN ESTEBO),42.8114,-7.438300000000001
471,9006,BURGOS,42.3502,-3.6753
472,50450,MUEL,41.4663,-1.085
473,21730,ALMONTE,37.2647,-6.5167
474,9292,MONASTERIO DE RODILLA,42.4149,-3.4205692307692317
475,45007,TOLEDO,39.8581,-4.0226
476,26300,NAJERA,42.4182,-2.7287
477,9197,VILLALBILLA DE BURGOS,42.41,-3.722875
478,50191,JUSLIBOL,41.625,-1.0346
479,16400,TARANCON,40.0085,-3.0073
