regkey;name;population;level
010585833054;Fockbek;6583;gemeinde
010585833118;Nübbel;1542;gemeinde
010585833136;Rickert;1050;gemeinde
010585847010;Bargstall;153;gemeinde
010585847029;Breiholz;1327;gemeinde
010585847036;Christiansholm;230;gemeinde
010585847047;Elsdorf-Westermühlen;1609;gemeinde
010585847055;Friedrichsgraben;50;gemeinde
010585847056;Friedrichsholm;391;gemeinde
010585847070;Hamdorf;1355;gemeinde
010585847078;Hohn;2471;gemeinde
010585847089;Königshügel;168;gemeinde
010585847097;Lohe-Föhrden;442;gemeinde
010585847129;Prinzenmoor;156;gemeinde
010585847154;Sophienhamm;312;gemeinde
010585853031;Brinjahe;101;gemeinde
010585853048;Embühren;203;gemeinde
010585853068;Haale;501;gemeinde
010585853071;Hamweddel;450;gemeinde
010585853075;Hörsten;55;gemeinde
010585853086;Jevenstedt;3350;gemeinde
010585853101;Luhnstedt;380;gemeinde
010585853148;Schülp b. Rendsburg;1020;gemeinde
010585853155;Stafstedt;355;gemeinde
010585853172;Westerrönfeld;4953;gemeinde
010585859018;Blumenthal;617;gemeinde
010585859105;Mielkendorf;1392;gemeinde
010585859107;Molfsee;5046;gemeinde
010585859138;Rodenbek;457;gemeinde
010585859139;Rumohr;818;gemeinde
010585859141;Schierensee;347;gemeinde
010585864011;Bargstedt (Kreis Rendsburg-Eckernförde);744;gemeinde
010585864021;Bokel (Kreis Rendsburg-Eckernförde);582;gemeinde
010585864023;Borgdorf-Seedorf;454;gemeinde
010585864027;Brammer;359;gemeinde
010585864038;Dätgen;596;gemeinde
010585864045;Eisendorf;299;gemeinde
010585864046;Ellerdorf;482;gemeinde
