Tabelle: 1000A-0000
Personen: Bevölkerungszahl;;;;
Bevölkerung kompakt (Gebietsstand 15.05.2022);;;;;
;;;;15.05.2022;
010535391114;Schürensöhlen;Personen;Anzahl;158;e
010535391118;Siebenbäumen;Personen;Anzahl;607;e
010535391121;Sirksfelde;Personen;Anzahl;333;e
010535391122;Steinhorst (Kreis Herzogtum Lauenburg);Personen;Anzahl;564;e
010535391124;Stubben (Kreis Herzogtum Lauenburg);Personen;Anzahl;381;e
010535391127;Walksfelde;Personen;Anzahl;209;e
010535391130;Wentorf (Amt Sandesneben);Personen;Anzahl;717;e
010540033033;Friedrichstadt, Stadt;Personen;Anzahl;2614;e
010540056056;Husum, Stadt;Personen;Anzahl;23628;e
010540108108;Reußenköge;Personen;Anzahl;311;e
010540138138;Tönning, Stadt;Personen;Anzahl;4789;e
010540168168;Sylt;Personen;Anzahl;14579;e
010545417035;Garding, Kirchspiel;Personen;Anzahl;326;e
010545417036;Garding, Stadt;Personen;Anzahl;2771;e
010545417040;Grothusenkoog;Personen;Anzahl;25;e
010545417063;Katharinenheerd;Personen;Anzahl;157;e
010545417072;Kotzenbüll;Personen;Anzahl;188;e
010545417090;Norderfriedrichskoog;Personen;Anzahl;54;e
010545417095;Oldenswort;Personen;Anzahl;1237;e
010545417100;Osterhever;Personen;Anzahl;223;e
010545417104;Poppenbüll;Personen;Anzahl;236;e
010545417113;Sankt Peter-Ording;Personen;Anzahl;3809;e
010545417134;Tating;Personen;Anzahl;999;e
010545417135;Tetenbüll;Personen;Anzahl;645;e
010545417140;Tümlauer Koog;Personen;Anzahl;106;e
010545417145;Vollerwiek;Personen;Anzahl;208;e
010545417148;Welt;Personen;Anzahl;191;e
010545417150;Westerhever;Personen;Anzahl;97;e
010545439046;Hörnum (Sylt);Personen;Anzahl;854;e
010545439061;Kampen (Sylt);Personen;Anzahl;533;e
010545439078;List auf Sylt;Personen;Anzahl;1404;e
010545439149;Wenningstedt-Braderup (Sylt);Personen;Anzahl;1441;e
010545453003;Ahrenviöl;Personen;Anzahl;524;e
010545453004;Ahrenviölfeld;Personen;Anzahl;224;e
010545453011;Behrendorf;Personen;Anzahl;551;e
010545453013;Bondelum;Personen;Anzahl;186;e
010545453041;Haselund;Personen;Anzahl;920;e
010545453057;Immenstedt (Kreis Nordfriesland);Personen;Anzahl;671;e
010545453079;Löwenstedt;Personen;Anzahl;705;e
010545453092;Norstedt;Personen;Anzahl;391;e
010545453101;Oster-Ohrstedt;Personen;Anzahl;665;e
010545453118;Schwesing;Personen;Anzahl;937;e
010545453123;Sollwitt;Personen;Anzahl;285;e
010545453144;Viöl;Personen;Anzahl;2248;e
010545453152;Wester-Ohrstedt;Personen;Anzahl;1078;e
010545459039;Gröde;Personen;Anzahl;9;e
010545459050;Hallig Hooge;Personen;Anzahl;100;e
010545459074;Langeneß;Personen;Anzahl;136;e
010545459103;Pellworm;Personen;Anzahl;1231;e
010545488005;Alkersum;Personen;Anzahl;392;e
010545488015;Borgsum;Personen;Anzahl;305;e
010545488025;Dunsum;Personen;Anzahl;77;e
010545488083;Midlum (Kreis Nordfriesland);Personen;Anzahl;467;e
010545488085;Nebel;Personen;Anzahl;921;e
010545488087;Nieblum;Personen;Anzahl;582;e
010545488089;Norddorf auf Amrum;Personen;Anzahl;571;e
010545488094;Oevenum;Personen;Anzahl;454;e
010545488098;Oldsum;Personen;Anzahl;561;e
010545488129;Süderende;Personen;Anzahl;178;e
010545488143;Utersum;Personen;Anzahl;412;e
010545488158;Witsum;Personen;Anzahl;41;e
010545488160;Wittdün auf Amrum;Personen;Anzahl;814;e
010545488163;Wrixum;Personen;Anzahl;561;e
010545488164;Wyk auf Föhr, Stadt;Personen;Anzahl;4217;e
010545489001;Achtrup;Personen;Anzahl;1534;e
010545489009;Aventoft;Personen;Anzahl;406;e
010545489016;Bosbüll;Personen;Anzahl;260;e
010545489017;Braderup;Personen;Anzahl;662;e
010545489018;Bramstedtlund;Personen;Anzahl;212;e
010545489022;Dagebüll;Personen;Anzahl;918;e
010545489027;Ellhöft;Personen;Anzahl;105;e
